Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Informe desde las Aleutianas,1943,13+,45 min,Documentales,John Huston,NA,Estados Unidos,6.4/10,Netflix
La batalla de Midway,1942,13+,18 min,"Clásicas, Documentales, Premiadas",John Ford,"Henry Fonda, Jane Darwell",Estados Unidos,6.1/10,Netflix
Memphis Belle: la historia de una fortaleza volante,1944,13+,40 min,"Clásicas, Documentales",William Wyler,NA,Estados Unidos,7.2/10,Netflix
Preludio a la guerra,1942,13+,52 min,"Clásicas, Documentales, Premiadas",Frank Capra,NA,Estados Unidos,7.0/10,Netflix
San Pietro,1945,13+,32 min,"Clásicas, Documentales",John Huston,NA,Estados Unidos,6.6/10,Netflix
The Negro Soldier,1944,13+,40 min,"Clásicas, Documentales",Stuart Heisler,NA,Estados Unidos,5.9/10,Netflix
Thunderbolt,1947,13+,42 min,"Clásicas, Documentales","William Wyler, John Sturges","James Stewart, Lloyd Bridges",Estados Unidos,6.6/10,Netflix
Victoria en Túnez,1944,13+,76 min,"Clásicas, Documentales","Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",Burgess Meredith,"Estados Unidos, Reino Unido",6.6/10,Netflix
Why We Fight: La batalla de Rusia,1943,13+,82 min,Documentales,"Frank Capra, Anatole Litvak",NA,Estados Unidos,7.1/10,Netflix
Jo Koy: Live from Seattle,2017,16+,63 min,Películas,Shannon Hartman,Jo Koy,Estados Unidos,7.2/10,Netflix
Bottersnikes & Gumbles,2017,TODOS LO,2 temporadas,"Británicas, Infantiles",NA,"Jason Callender, Kathryn Drysdale, Akiya Henry, Jeff Rawle, Richard Grieve, Simone Craddock, Alex Babic, Miriam Margolyes","Estados Unidos, Reino Unido, Australia",5.1/10,Netflix
Felipe Neto - Minha Vida Não Faz Sentido,2017,13+,91 min,Películas,Diego Pignataro,Felipe Neto,Brasil,4.5/10,Netflix
La mujer más odiada de América,2017,16+,93 min,Dramas,Tommy O'Haver,"Melissa Leo, Josh Lucas, Vincent Kartheiser, Juno Temple, Adam Scott, Peter Fonda, Sally Kirkland, Rory Cochrane",Estados Unidos,6.1/10,Netflix
The C Word,2016,13+,93 min,Documentales,Meghan O'Hara,Morgan Freeman,Estados Unidos,7.6/10,Netflix
Dave Chappelle,2017,16+,1 temporada,"Comedias, Estadounidenses, Monólogos de humoristas",Stan Lathan,Dave Chappelle,Estados Unidos,8.7/10,Netflix
Best Worst Thing That Ever Could Have Happened,2016,7+,97 min,Documentales,Lonny Price,"Stephen Sondheim, Harold Prince, Jason Alexander, Mandy Patinkin, Lonny Price",Estados Unidos,7.5/10,Netflix
Deidra y Laney asaltan un tren,2017,13+,92 min,"Comedias, Dramas, Independientes",Sydney Freeland,"Rachel Crow, Ashleigh Murray, Sasheer Zamata, Danielle Nicolet, David Sullivan, Tim Blake Nelson, Missi Pyle, Arturo Castro, Sharon Lawrence, Brooke Markham, Kinna McInroe, Myko Olivier, Lance Gray",Estados Unidos,6.1/10,Netflix
Julie entre bambalinas,2017,TODOS LO,1 temporada,Infantiles,NA,"Julie Andrews, Giullian Yao Gioiello, Jennifer Barnhart, Tyler Bunch, Frankie Cordero, Stephanie D'Abruzzo, Dorien Davies, John Kennedy, John Tartaglia",Estados Unidos,8.4/10,Netflix
Pandora,2016,16+,137 min,"Dramas, Extranjeras, Thrillers",Jung-woo Park,"Nam-gil Kim, Young-ae Kim, Jeong-hee Moon, Joo-hyun Kim, Jin-young Jung, Kyeong-yeong Lee, Shin-il Kang, Dae-Myung Kim, Seung-mok Yoo, Myung-min Kim",Corea del Sur,6.7/10,Netflix
El gourmet samurái,2017,7+,1 temporada,"Dramas, Extranjeras",NA,"Naoto Takenaka, Tetsuji Tamayama, Honami Suzuki",Japón,8.2/10,Netflix
A Murder in the Park,2014,13+,91 min,Documentales,"Christopher S. Rech, Brandon Kimber",NA,Estados Unidos,7.3/10,Netflix
Apuntes sobre la ceguera,2016,13+,87 min,"Documentales, Dramas, Extranjeras","Peter Middleton, James Spinney","Dan Renton Skinner, Simone Kirby",Reino Unido,7.1/10,Netflix
Jim Norton: Mouthful of Shame,2017,16+,62 min,Películas,Shannon Hartman,Jim Norton,Estados Unidos,6.9/10,Netflix
Buddy Thunderstruck,2017,7+,1 temporada,"Comedias, Infantiles",NA,"Brian Atkinson, Ted Raimi, Harry Chaskin, Justin Michael, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",Estados Unidos,7.7/10,Netflix
Código de silencio,2017,16+,102 min,"Dramas, Independientes",Gerard McMurray,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Serayah, Tosin Cole, Malik Bazille, Octavius J. Johnson, Davyon St. Usaire, Mitchell Edwards, Nafessa Williams, Christian Robinson, Imani Hakim, Raquel Bianca John",Estados Unidos,6.0/10,Netflix
El día después de la ruptura,2016,13+,1 temporada,"Dramas, Extranjeras, Románticas",NA,"L, So-hui Yoon, Gi-du Kim, Chang-hwan Kim, Ji Su, Tae-im Lee, Nam-gil Kang",Corea del Sur,6.9/10,Netflix
Bana Masal Anlatma,2015,13+,103 min,"Ciencia ficción y fantásticas, Comedias, Extranjeras",Burak Aksak,"Hande Doğandemir, Fatih Artman, Devrim Yakut, Cengiz Bozkurt, Erdal Tosun, Berat Yenilmez, Ercan Yazgan, Sadi Celil Cengiz, Cihan Ercan, Burcu Biricik, Tarık Ünlüoğlu, Gürkan Uygun, Gökçe Bahadır",Turquía,7.5/10,Netflix
Berlin Kaplani,2012,7+,99 min,"Comedias, Extranjeras",Hakan Algül,"Ata Demirer, Necati Bilgiç, Tarık Ünlüoğlu, Özlem Türkad, Nihal Yalçın, Cemil Özbayer, Cengiz Bozkurt, Orhan Güner, Mert Aran",Turquía,5.1/10,Netflix
Çarsi Pazar,2015,13+,97 min,"Comedias, Extranjeras",Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turquía,5.3/10,Netflix
