Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Bob Esponja: Un héroe al rescate,2020,TODOS LO,95 min,"Comedias, Para toda la familia",Tim Hill,"Tom Kenny, Bill Fagerbakke, Rodger Bumpass, Mr. Lawrence, Keanu Reeves, Clancy Brown, Carolyn Lawrence, Matt Berry, Jill Talley, Mary Jo Catlett","Estados Unidos, Corea del Sur",6.4/10,Netflix
Brooklyn Nine-Nine,2019,13+,6 temporadas,"Comedias, Estadounidenses, Policiacas",NA,"Andy Samberg, Andre Braugher, Stephanie Beatriz, Terry Crews, Melissa Fumero, Joe Lo Truglio, Chelsea Peretti, Dirk Blocker, Joel McKinnon Miller",Estados Unidos,8.4/10,Netflix
Carmel: ¿Quién mató a María Marta?,2020,13+,1 temporada,"Docuseries, Extranjeras, Policiacas",Alejandro Hartmann,NA,NA,NA,Netflix
Operación Feliz Navidad,2020,7+,96 min,"Comedias, Para toda la familia, Románticas",Martin Wood,"Kat Graham, Alexander Ludwig, Virginia Madsen, Janet Kidder, Jeff Joseph, Bethany Brown, Trezzo Mahoro, Rohan Campbell, Aliza Vellani, Aaron Douglas, Xavier de Guzman, Bruce Best",Estados Unidos,N/A/10,Netflix
Outlander,2018,16+,4 temporadas,"Acción, Ciencia ficción y fantásticas, Dramas",NA,"Caitriona Balfe, Sam Heughan, Tobias Menzies, Graham McTavish, Duncan Lacroix, Grant O'Rourke, Stephen Walters, Gary Lewis, Lotte Verbeek, Bill Paterson",Estados Unidos,8.4/10,Netflix
Paranormal,2020,16+,1 temporada,"Ciencia ficción y fantásticas, Dramas, Extranjeras",NA,"Ahmed Amin, Razane Jammal, Ayah Samaha, Samaa Ibrahem, Roshdy El Shamy, Reem Abd El Kader",Egipto,9.2/10,Netflix
Amor y anarquía,2020,13+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Ida Engvoll, Björn Mosten, Carla Sehn, Reine Brynolfsson, Gizem Erdogan, Björn Kjellman, Ruben Lopez, Johannes Kuhnke, Elsa Agemalm Reiland, Benjamin Shaps, Disa Östrand, Ejke Blomberg, Lars Väringer",NA,NA,Netflix
El gordo y el flaco,2018,7+,98 min,"Comedias, Dramas, Extranjeras",Jon S. Baird,"Steve Coogan, John C. Reilly, Nina Arianda, Shirley Henderson, Danny Huston, Rufus Jones","Reino Unido, Canadá, Estados Unidos",7.2/10,Netflix
El comienzo de la vida,2016,7+,96 min,"Documentales, Extranjeras",Estela Renner,NA,Brasil,7.6/10,Netflix
Especial de Heidi: Invierno en Dörfli,2020,TODOS LO,23 min,Para toda la familia,NA,NA,NA,NA,Netflix
Felix Lobrecht: Hype,2020,16+,60 min,Películas,Jan-Peter Horns,Felix Lobrecht,NA,NA,Netflix
Maternidad,2020,13+,127 min,"Dramas, Extranjeras",Tatsushi Omori,"Masami Nagasawa, Sadao Abe, Daiken Okudaira",NA,NA,Netflix
Recuerdos de juventud,2020,13+,1 temporada,"Dramas, Extranjeras, Románticas",NA,"Park Bo-gum, Park So-dam, Byeon Woo-seok, Ha Hee-ra, Shin Ae-ra, Han Jin-hee, Shin Dong-mi, Lee Chang-hoon, Kwon Soo-hyun, Cho Yu-jung, Park Su-young, Seo Sang-won, Lee Jae-won",Corea del Sur,7.5/10,Netflix
¿Me oyes?,2020,16+,2 temporadas,"Comedias, Dramas, Extranjeras",NA,"Mélissa Bédard, Ève Landry, Florence Longpré",Canadá,7.1/10,Netflix
Barbie Dreamhouse Adventures: Go Team Roberts,2020,TODOS LO,2 temporadas,Infantiles,NA,"America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Emma Galvin, Stephanie Sheh, Desirae Whitfield, Cristina Milizia, Lisa Fuson, Greg Chun, Ritesh Rajan, Eamon Brennan",NA,NA,Netflix
Bienvenidos a Villa Capri,2017,13+,93 min,Comedias,Ron Shelton,"Morgan Freeman, Tommy Lee Jones, Rene Russo, Joe Pantoliano, Glenne Headly, Sheryl Lee Ralph, Elizabeth Ashley, George Wallace, Graham Beckel, Mel Raido",Estados Unidos,4.5/10,Netflix
Centurion,2010,16+,98 min,"Acción, Extranjeras",Neil Marshall,"Michael Fassbender, Dominic West, JJ Feild, Lee Ross, David Morrissey, Ulrich Thomsen, Ryan Atkinson, Paul Freeman, Olga Kurylenko, Liam Cunningham","Reino Unido, Francia, Estados Unidos",6.4/10,Netflix
Drácula de Bram Stoker,1992,16+,127 min,"Ciencia ficción y fantásticas, Clásicas, Premiadas",Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves, Richard E. Grant, Cary Elwes, Billy Campbell, Sadie Frost, Tom Waits, Monica Bellucci",Estados Unidos,7.4/10,Netflix
El jardín secreto,1993,7+,101 min,"Dramas, Para toda la familia",Agnieszka Holland,"Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith, John Lynch","Reino Unido, Estados Unidos",7.3/10,Netflix
"El patrón, radiografía de un crimen",2014,16+,100 min,"Dramas, Extranjeras, Thrillers",Sebastián Schindel,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",7.4/10,Netflix
El velo pintado,2006,13+,125 min,"Dramas, Premiadas, Románticas",John Curran,"Naomi Watts, Edward Norton, Liev Schreiber, Toby Jones, Diana Rigg, Anthony Wong Chau-sang, Li Bin, Alan David, Marie-Laure Descoureaux, Juliet Howland, Lorraine Laurence, Sally Hawkins","China, Estados Unidos, Canadá",7.5/10,Netflix
Hostel 3: De vuelta al horror,2011,18+,88 min,Terror,Scott Spiegel,"Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel, Chris Coy, Skyler Stone, Thomas Kretschmann, Zulay Henao, Nickola Shreli, Derrick Carr",Estados Unidos,4.6/10,Netflix
Jack Ryan: Operación Sombra,2014,13+,107 min,Acción,Kenneth Branagh,"Chris Pine, Keira Knightley, Kevin Costner, Kenneth Branagh, Lenn Kudrjawizki, Alec Utgoff, Peter Andersson, Elena Velikanova, Nonso Anozie, Seth Ayott","Estados Unidos, Rusia",6.2/10,Netflix
Jackass Presenta: Bad Grandpa,2013,16+,103 min,Comedias,Jeff Tremaine,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Grasie Mercedes, Marilynn Allain",Estados Unidos,6.5/10,Netflix
Kid-E-Cats,2016,TODOS LO,1 temporada,Infantiles,NA,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Rusia,7.0/10,Netflix
La fiesta de Navidad,2018,TODOS LO,85 min,Románticas,Sean Olson,"Emily Osment, Ryan Rottman, Kelly Hu, Jacob Buster, Jake Stormoen",Estados Unidos,6.4/10,Netflix
La red social,2010,13+,121 min,"Dramas, Premiadas",David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, Josh Pence, Brenda Song, Rashida Jones, John Getz, David Selby",Estados Unidos,7.7/10,Netflix
LEGO City: Donde anidan los cuervos,2019,7+,11 min,Para toda la familia,Jerry Forder,"Marc Silk, Kate Harbour",NA,NA,Netflix
LEGO Ninjago: Masters of Spinjitzu,2019,7+,6 temporadas,Infantiles,NA,"Vincent Tong, Jillian Michaels, Ian James Corlett, John Novak, Paul Dobson, Michael Adamthwaite, Kelly Metzger, Brent Miller, Kirby Morrow, Brian Drummond, Mark Oliver, Michael Kopsa","Dinamarca, Singapur, Canadá, Estados Unidos",6.9/10,Netflix
LEGO: Aventuras en la ciudad,2019,7+,1 temporada,"Comedias, Infantiles",NA,"Joe Zieja, Misty Lee, Alex Cazares, Daniel MK Cohen, James Arnold Taylor, Roger Craig Smith, Mick Lauer","Estados Unidos, Francia",7.7/10,Netflix
LEGO: City 2017,2017,TODOS LO,1 temporada,Infantiles,NA,"Ben Pronsky, Ellen Dubin, Ray Chase",Reino Unido,NA,Netflix
Leyenda urbana,1998,18+,100 min,Terror,Jamie Blanks,"Jared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum, Loretta Devine, Joshua Jackson, Tara Reid, John Neville, Julian Richings, Robert Englund","Estados Unidos, Canadá",5.6/10,Netflix
M:I:III,2006,13+,126 min,Acción,J.J. Abrams,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup, Michelle Monaghan, Jonathan Rhys Meyers, Keri Russell, Maggie Q, Simon Pegg, Eddie Marsan, Laurence Fishburne","Estados Unidos, Alemania, China, Italia",6.9/10,Netflix
Mejor... imposible,1997,13+,139 min,"Comedias, Premiadas, Románticas",James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros",Estados Unidos,7.7/10,Netflix
Mi monstruo y yo,2007,7+,112 min,Para toda la familia,Jay Russell,"Emily Watson, Alex Etel, Ben Chaplin, David Morrissey, Brian Cox, Priyanka Xi, Marshall Napier, Joel Tobeck, Erroll Shand, Craig Hall","Nueva Zelanda, Reino Unido, Australia",6.4/10,Netflix
Misión:Imposible - 2,2000,16+,124 min,Acción,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Matthew Wilkinson, Anthony Hopkins","Estados Unidos, Alemania",6.1/10,Netflix
Mission Impossible,1996,16+,111 min,Acción,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno, Ving Rhames, Kristin Scott Thomas, Vanessa Redgrave, Karel Dobrý, John McLaughlin",Estados Unidos,7.1/10,Netflix
Navidades por encargo,2018,TODOS LO,85 min,"Comedias, Románticas",Sam Irvin,"Alexa PenaVega, Jonathan Bennett, Jo Marie Payton, Jacob Young, Chelsea Gilson, Andrew Roach, Nathan Nonhof, Bailee Michelle Johnson",Estados Unidos,6.3/10,Netflix
Ninjago,2019,7+,1 temporada,Infantiles,NA,"Michael Adamthwaite, Paul Dobson, Kelly Metzger, Brent Miller, Kirby Morrow, Pauline Newstone, Vincent Tong, Sam Vincent",Canadá,7.8/10,Netflix
Polar Express,2004,7+,100 min,Para toda la familia,Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye, Peter Scolari, Brendan King, Andy Pellick, Michael Jeter, Chris Coppola, Julene Renee",Estados Unidos,6.6/10,Netflix
Poseidón,2006,13+,98 min,"Acción, Dramas",Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",Estados Unidos,5.7/10,Netflix
Quiero ser un Thunder,2012,TODOS LO,94 min,"Comedias, Para toda la familia",John Whitesell,"Kevin Durant, Taylor Gray, Jim Belushi, Brandon T. Jackson, Larramie Doc Shaw, Tristin Mays, Robert Belushi, Spencer Daniels, William Ragsdale, Nicole Barré",Estados Unidos,5.1/10,Netflix
Sentido y sensibilidad,1995,7+,136 min,"Dramas, Extranjeras, Premiadas",Ang Lee,"Emma Thompson, Alan Rickman, Kate Winslet, Hugh Grant, James Fleet, Tom Wilkinson, Harriet Walter, Gemma Jones, Emilie François, Elizabeth Spriggs, Robert Hardy, Ian Brimble, Greg Wise, Imelda Staunton, Imogen Stubbs, Hugh Laurie","Estados Unidos, Reino Unido",7.6/10,Netflix
Spanglish,2004,13+,131 min,"Comedias, Dramas, Románticas",James L. Brooks,"Adam Sandler, Téa Leoni, Paz Vega, Cloris Leachman, Shelbie Bruce, Sarah Steele, Ian Hyland, Victoria Luna, Cecilia Suárez, Ricardo Molina, Brenda Canela",Estados Unidos,6.4/10,Netflix
Tammy,2014,13+,97 min,Comedias,Ben Falcone,"Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney, Dan Aykroyd, Mark Duplass, Gary Cole, Nat Faxon, Toni Collette, Sandra Oh",Estados Unidos,4.9/10,Netflix
Una Navidad en Alaska,2018,7+,88 min,Románticas,Peter Sullivan,"Tia Mowry, Rob Mayes, Jackée Harry, Tim Reid, Erin Gray, Tanya Wright, David Starzyk",Estados Unidos,6.1/10,Netflix
Zumbo's Just Desserts,2019,TODOS LO,1 temporada,"Extranjeras, Realities y talk shows",NA,"Adriano Zumbo, Rachel Khoo",Australia,6.9/10,Netflix
Bronx,2020,16+,116 min,"Dramas, Extranjeras, Thrillers",Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",Francia,6.1/10,Netflix
Casa ajena,2020,16+,93 min,"Independientes, Premiadas, Terror",Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",Reino Unido,6.4/10,Netflix
Comida para Phil,2020,7+,4 temporadas,"Docuseries, Estadounidenses, Realities y talk shows",NA,Philip Rosenthal,Estados Unidos,8.2/10,Netflix
Kaali Khuhi,2020,13+,91 min,"Extranjeras, Terror",Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",India,3.4/10,Netflix
Menéndez: El día del Señor,2020,16+,93 min,"Extranjeras, Terror",Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia","México, España",4.8/10,Netflix
Suburra: La Serie,2020,16+,3 temporadas,"Dramas, Extranjeras, Policiacas",NA,"Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu",Italia,7.9/10,Netflix
Gigantosaurus,2019,TODOS LO,1 temporada,Infantiles,NA,NA,Estados Unidos,7.5/10,Netflix
Amor de calendario,2020,13+,105 min,"Comedias, Románticas",John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",Estados Unidos,6.1/10,Netflix
La gran ilusión,2016,7+,50 min,"Españolas, Extranjeras",Antonio Díaz,Antonio Díaz,NA,NA,Netflix
Los secretos de la tumba de Saqqara,2020,13+,114 min,Documentales,James Tovell,NA,Estados Unidos,7.4/10,Netflix
Nadie duerme en el bosque esta noche,2020,18+,103 min,"Extranjeras, Terror",Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",Polonia,4.8/10,Netflix
Chico Bun Bun: un mono manitas,2020,TODOS LO,4 temporadas,Infantiles,NA,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Roberta Lemons, Cole Seaver",Estados Unidos,6.5/10,Netflix
Flechazo a primera vista,2017,13+,93 min,"Comedias, Extranjeras, Románticas",Arnauld Mercadier,"Tomer Sisley, Julie de Bona, Malonn Lévana, Giorgio Maietto, Dorothée Jemma, Gianni Giardinelli, William Robquin, Christian Bouillette, Mirka Valova, Janicke Askevold",Francia,6.0/10,Netflix
Sangre de Zeus,2020,16+,1 temporada,"Anime, Estadounidenses",NA,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",Estados Unidos,7.9/10,Netflix
Sarah Cooper: Everything's Fine,2020,16+,50 min,Comedias,Natasha Lyonne,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",Estados Unidos,5.7/10,Netflix
Vilas: Serás lo que debas ser o no serás nada,2020,7+,95 min,"Documentales, Extranjeras",Matías Gueilburt,NA,Argentina,7.3/10,Netflix
Castigador de demonios,2020,13+,1 temporada,"Ciencia ficción y fantásticas, Extranjeras, Románticas","Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien",Taiwán,4.8/10,Netflix
Arrow,2019,16+,8 temporadas,"Acción, Estadounidenses, Policiacas",James Bamford,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",Estados Unidos,7.5/10,Netflix
American Gangster,2007,16+,157 min,"Dramas, Thrillers",Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Cuba Gooding Jr., Josh Brolin, Ted Levine, Armand Assante, John Ortiz, John Hawkes, RZA, Lymari Nadal, Yul Vazquez, Ruby Dee, Idris Elba, Carla Gugino, Joe Morton","Estados Unidos, Reino Unido",7.8/10,Netflix
American Pie: El reencuentro,2012,16+,113 min,Comedias,"Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Seann William Scott, Chris Klein, Eugene Levy, Thomas Ian Nicholas, Tara Reid, Mena Suvari, Eddie Kaye Thomas, John Cho, Jennifer Coolidge, Natasha Lyonne, Dania Ramirez, Shannon Elizabeth",Estados Unidos,6.7/10,Netflix
Bárbaros,2020,16+,1 temporada,"Acción, Dramas, Extranjeras",NA,"Laurence Rupp, Jeanne Goursaud, David Schütter, Ronald Zehrfeld, Nicki von Tempelhoff, Bernhard Schütz, Eva Verena Müller, Sophie Rois, Gaetano Aronica, Nikolai Kinski, Jeremy Miliker",Alemania,7.3/10,Netflix
Bridget Jones: Sobreviviré,2004,13+,108 min,"Comedias, Extranjeras, Románticas",Beeban Kidron,"Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones, Jim Broadbent, Celia Imrie, James Faulkner, Jacinda Barrett, Sally Phillips, Shirley Henderson, James Callis","Reino Unido, Francia, Alemania, Irlanda, Estados Unidos",6.0/10,Netflix
Doom,2005,16+,105 min,"Acción, Ciencia ficción y fantásticas, Terror",Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei, Ben Daniels, Razaaq Adoti, Richard Brake, Dexter Fletcher, Al Weaver, Brian Steele","Reino Unido, República Checa, Alemania, Estados Unidos",5.2/10,Netflix
Gambito de dama,2020,16+,1 temporada,"Dramas, Estadounidenses",NA,"Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd",Estados Unidos,8.9/10,Netflix
Hop,2011,TODOS LO,95 min,"Comedias, Para toda la familia",Tim Hill,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria, Gary Cole, Elizabeth Perkins, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler",Estados Unidos,5.4/10,Netflix
Kick-Ass 2. Con un par,2013,16+,103 min,"Acción, Comedias",Jeff Wadlow,"Aaron Taylor-Johnson, Christopher Mintz-Plasse, Chloë Grace Moretz, Jim Carrey, Clark Duke, Morris Chestnut, Donald Faison, John Leguizamo, Augustus Prew, Garrett M. Brown, Olga Kurkulina, Daniel Kaluuya, Yancy Butler","Reino Unido, Estados Unidos, Japón",6.5/10,Netflix
La boda de mi mejor amiga,2011,13+,125 min,Comedias,Paul Feig,"Kristen Wiig, Melissa McCarthy, Maya Rudolph, Rose Byrne, Chris O'Dowd, Ellie Kemper, Wendi McLendon-Covey, Matt Lucas, Jill Clayburgh, Rebel Wilson, Michael Hitchcock, Jon Hamm",Estados Unidos,6.8/10,Netflix
La Niñera Mágica,2005,7+,99 min,"Comedias, Para toda la familia",Kirk Jones,"Emma Thompson, Colin Firth, Kelly Macdonald, Thomas Brodie-Sangster, Angela Lansbury, Eliza Bennett, Raphaël Coleman, Jennifer Rae Daykin, Samuel Honywood, Holly Gibbs","Estados Unidos, Reino Unido, Francia",6.5/10,Netflix
La Niñera mágica y el Big Bang,2010,7+,109 min,"Comedias, Para toda la familia",Susanna White,"Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Asa Butterfield, Lil Woods, Oscar Steer, Eros Vlahos, Rosie Taylor-Ritson, Maggie Smith, Ewan McGregor, Ralph Fiennes, Sam Kelly","Reino Unido, Francia, Estados Unidos",6.1/10,Netflix
Las vacaciones de Mr. Bean,2007,13+,90 min,"Comedias, Extranjeras, Para toda la familia",Steve Bendelack,"Rowan Atkinson, Emma de Caunes, Maxim Baldry, Willem Dafoe, Jean Rochefort, Karel Roden, Catherine Hosmalin, Stéphane Debac, Clint Dyer, Steve Pemberton","Reino Unido, Francia, Alemania, Estados Unidos",6.4/10,Netflix
Los colegas del barrio,1996,16+,94 min,Comedias,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer, Suli McCullough, Darrel Heath, Helen Martin, Isaiah Barnes, Lahmard J. Tate, Keenen Ivory Wayans",Estados Unidos,6.6/10,Netflix
Los miserables,2012,13+,158 min,"Dramas, Extranjeras, Música y musicales",Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen, Helena Bonham Carter, Eddie Redmayne, Aaron Tveit, Samantha Barks, Daniel Huttlestone","Reino Unido, Estados Unidos",7.6/10,Netflix
Malditos bastardos,2009,18+,153 min,"Acción, Premiadas",Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Sylvester Groth, Martin Wuttke","Alemania, Estados Unidos",8.3/10,Netflix
Más allá de la Luna,2020,TODOS LO,100 min,"Música y musicales, Para toda la familia",Glen Keane,"Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora","China, Estados Unidos",6.6/10,Netflix
Megapetarda,2008,7+,98 min,"Comedias, Románticas",Nick Moore,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth","Estados Unidos, Reino Unido, Francia",6.1/10,Netflix
Move,2020,13+,1 temporada,"Docuseries, Extranjeras","Thierry Demaizière, Alban Teurlai",NA,Estados Unidos,8.0/10,Netflix
Oblivion,2013,16+,125 min,"Acción, Ciencia ficción y fantásticas",Joseph Kosinski,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough, Nikolaj Coster-Waldau, Melissa Leo, Zoë Bell, Abigail Lowe, Isabelle Lowe",Estados Unidos,7.0/10,Netflix
One Day (Siempre el mismo Día),2011,13+,107 min,"Dramas, Románticas",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Tom Mison, Jodie Whittaker, Rafe Spall, Joséphine de La Baume, Patricia Clarkson, Ken Stott, Romola Garai","Estados Unidos, Reino Unido",7.0/10,Netflix
Paso de ti,2008,16+,111 min,"Comedias, Románticas",Nicholas Stoller,"Jason Segel, Kristen Bell, Mila Kunis, Russell Brand, Bill Hader, Jonah Hill, Paul Rudd, Kristen Wiig, Jack McBrayer, Steve Landesberg",Estados Unidos,7.1/10,Netflix
RIDE ON TIME,2019,13+,2 temporadas,"Docuseries, Extranjeras",NA,"King & Prince, Hey! Say! JUMP, KAT-TUN, NEWS, Kansai Johnny's Jr., Snow Man, Tomoyuki Yara, Travis Japan, Bi shonen, SixTONES, HiHi Jets, Kis-My-Ft2, Koichi Domoto",NA,NA,Netflix
Se busca,2008,16+,110 min,Acción,Timur Bekmambetov,"James McAvoy, Angelina Jolie, Morgan Freeman, Terence Stamp, Thomas Kretschmann, Common, Kristen Hager, Marc Warren, David O'Hara, Dato Bakhtadze","Estados Unidos, Alemania",6.7/10,Netflix
Siempre a mi lado,2010,13+,99 min,"Dramas, Románticas",Burr Steers,"Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew, Donal Logue, Kim Basinger, Ray Liotta, Dave Franco, Matt Ward, Miles Chalmers, Jesse Wheeler, Desiree Zurowski, Adrian Hough, Jill Teed","Estados Unidos, Canadá",6.4/10,Netflix
Silencio desde el mal,2007,16+,90 min,Terror,James Wan,"Ryan Kwanten, Amber Valletta, Donnie Wahlberg, Michael Fairman, Joan Heney, Bob Gunton, Laura Regan, Dmitry Chepovetsky, Judith Roberts, Keir Gilchrist",Estados Unidos,6.2/10,Netflix
Un buen partido,2020,13+,1 temporada,"Británicas, Dramas, Extranjeras",NA,"Tabu, Ishaan Khatter, Tanya Maniktala, Mahira Kakkar, Rasika Dugal, Shahana Goswami, Ram Kapoor, Aamir Bashir, Danesh Razvi, Namit Das, Mikhail Sen, Vijay Varma","Reino Unido, India",6.2/10,Netflix
Una cuestión de tiempo,2013,7+,123 min,"Ciencia ficción y fantásticas, Comedias, Dramas",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Margot Robbie, Lydia Wilson, Lindsay Duncan, Richard Cordery, Tom Hollander, Joshua McGuire, Vanessa Kirby",Reino Unido,7.8/10,Netflix
Animales fantásticos: Los crímenes de Grindelwald,2018,13+,134 min,"Ciencia ficción y fantásticas, Para toda la familia",David Yates,NA,"Reino Unido, Estados Unidos",6.6/10,Netflix
Bending the Arc: Sanidad sin fronteras,2017,13+,102 min,Documentales,"Kief Davidson, Pedro Kos",NA,Estados Unidos,7.2/10,Netflix
El alienista,2020,16+,2 temporadas,"Dramas, Estadounidenses, Policiacas",Jakob Verbruggen,"Daniel Brühl, Luke Evans, Dakota Fanning, Brian Geraghty, Robert Wisdom, Douglas Smith, Matthew Shear, Q'orianka Kilcher, Matt Lintz",Estados Unidos,7.7/10,Netflix
El cadáver,2020,16+,87 min,"Extranjeras, Terror",Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",Noruega,5.1/10,Netflix
"Tú, yo y ella",2020,13+,5 temporadas,"Comedias, Dramas, Estadounidenses",NA,"Greg Poehler, Rachel Blanchard, Priscilla Faia, Melanie Papalia, Jarod Joseph, Chelah Horsdal, Jennifer Spence","Estados Unidos, Canadá",7.1/10,Netflix
Enemigo íntimo,2020,16+,2 temporadas,"Dramas, Estadounidenses, Policiacas",NA,"Raúl Méndez, Fernanda Castillo, Matias Novoa, Guillermo Quintanilla, Leonardo Daniel, Otto Sirgo, Alejandro Speitzer, Armando Hernández, Valentina Acosta, Elvira Monsell",NA,NA,Netflix
No necesitan presentación con David Letterman,2020,13+,3 temporadas,"Estadounidenses, Realities y talk shows",NA,"Presidente Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman",Estados Unidos,7.9/10,Netflix
